trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.993}",25,0,-98.49009899746707,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9895}",20,0,-113.87896666902354,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.986}",20,0,-114.11430924638276,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9825}",35,0,-202.27706321925012,"{0: 22, 1: 3, 2: 5, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.979}",20,0,-163.18742516879357,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9755}",20,16,7.2297458097038625,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.972}",20,0,-73.51612405106829,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9685}",20,0,-91.00746178165683,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.965}",30,0,-140.19364813890786,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9615}",25,0,-60.04527382991257,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.958}",20,3,-55.22511216991072,"{0: 13, 1: 0, 2: 1, 3: 3, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9545}",25,0,-168.2857251911992,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.951}",25,0,-63.19146000865593,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9475}",25,0,-75.90078671791962,"{0: 18, 1: 1, 2: 3, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.944}",25,0,-173.69477540463862,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9405}",20,0,-31.69912966348184,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.937}",25,0,-112.10362538407934,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9335}",20,0,-102.874385850292,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-164.18062383190713,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9265}",20,0,-118.81947924316961,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.923}",20,0,-43.0334128456613,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9195}",20,0,-117.555720725294,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.916}",20,0,-42.71811938742226,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9125}",20,0,-10.72477868489192,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.909}",30,0,-132.9210008162263,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9055}",20,0,-37.78697448578213,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.902}",30,0,-132.95498456742922,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.8985}",20,0,-109.63817826032945,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.895}",20,0,-92.86372446328393,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.8915}",30,0,-237.11571684948584,"{0: 16, 1: 0, 2: 10, 3: 0, 4: 4}",0
