trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.50613608165219,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.78590245807119,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.78868213487948,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.56689022078905,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.18548725364855,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.82285469270732,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.24501246121916,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.7618284240304,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-199.36382436127735,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.21157758133097,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.11954649741804,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.477721515856956,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.92111715133947,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-224.0271945783803,"{0: 12, 1: 3, 2: 4, 3: 3, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-199.7698145309909,"{0: 20, 1: 2, 2: 9, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.41613822570426,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.1856920640805,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.75778500159054,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.75541505638617,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.04661454410535,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.86699226197433,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.39157810310729,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-144.81729526584624,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-101.15991686206829,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.57676026613308,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,6,-83.16634657629028,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.67408685274694,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-70.96420945508952,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-126.40421161598849,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.72017267622444,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
